GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
query-service,com.example.query,QueryServiceApplication,8,0,0,0,3,0,2,0,2,0
query-service,com.example.query.controller,AnalyticsController,10,0,0,0,4,0,2,0,2,0
query-service,com.example.query.streams,TopologyProvider,17,0,2,0,4,0,4,0,3,0
